TOP.60be4ee9.000a3f39	START
TOP.60be502a.000c2676	user_options->markov_disable	0
TOP.60be502a.000c2676	user_options->markov_threshold	256
TOP.60be502a.000c2676	user_options->backend_info	0
TOP.60be502a.000c2676	user_options->backend_vector_width	0
TOP.60be502a.000c2676	user_options->optimized_kernel_enable	0
TOP.60be502a.000c2676	user_options->outfile_autohex	1
TOP.60be502a.000c2676	user_options->outfile_check_timer	5
TOP.60be502a.000c2676	user_options->outfile_format	3
TOP.60be502a.000c2676	user_options->wordlist_autohex_disable	0
TOP.60be502a.000c2676	user_options->potfile_disable	0
TOP.60be502a.000c2676	user_options->progress_only	0
TOP.60be502a.000c2676	user_options->quiet	0
TOP.60be502a.000c2676	user_options->remove	0
TOP.60be502a.000c2676	user_options->remove_timer	60
TOP.60be502a.000c2676	user_options->restore	0
TOP.60be502a.000c2676	user_options->restore_disable	0
TOP.60be502a.000c2676	user_options->restore_timer	60
TOP.60be502a.000c2676	user_options->rp_files_cnt	0
TOP.60be502a.000c2676	user_options->rp_gen	0
TOP.60be502a.000c2676	user_options->rp_gen_func_max	4
TOP.60be502a.000c2676	user_options->rp_gen_func_min	1
TOP.60be502a.000c2676	user_options->rp_gen_seed	0
TOP.60be502a.000c2676	user_options->runtime	0
TOP.60be502a.000c2676	user_options->scrypt_tmto	0
TOP.60be502a.000c2676	user_options->segment_size	33554432
TOP.60be502a.000c2676	user_options->self_test_disable	0
TOP.60be502a.000c2676	user_options->slow_candidates	0
TOP.60be502a.000c2676	user_options->show	0
TOP.60be502a.000c2676	user_options->speed_only	0
TOP.60be502a.000c2676	user_options->spin_damp	0
TOP.60be502a.000c2676	user_options->status	0
TOP.60be502a.000c2676	user_options->status_json	0
TOP.60be502a.000c2676	user_options->status_timer	10
TOP.60be502a.000c2676	user_options->stdout_flag	0
TOP.60be502a.000c2676	user_options->usage	0
TOP.60be502a.000c2676	user_options->username	0
TOP.60be502a.000c2676	user_options->veracrypt_pim_start	485
TOP.60be502a.000c2676	user_options->veracrypt_pim_stop	485
TOP.60be502a.000c2676	user_options->version	0
TOP.60be502a.000c2676	user_options->workload_profile	2
TOP.60be502a.000c2676	user_options->brain_client	0
TOP.60be502a.000c2676	user_options->brain_client_features	2
TOP.60be502a.000c2676	user_options->brain_server	0
TOP.60be502a.000c2676	user_options->brain_server_timer	300
TOP.60be502a.000c2676	user_options->brain_port	6863
TOP.60be502a.000c2676	user_options->brain_session	0
TOP.60be502a.000c2676	proc_start	1623085098
TOP.60be502a.000c2676	proc_stop	1623085099
TOP.60be502a.000c2676	STOP
TOP.60be5052.0008062c	START
TOP.60be5052.0008062c	folder_config->cwd	C:\Users\Nico\Desktop\hashcat-6.2.1
TOP.60be5052.0008062c	folder_config->install_dir	.
TOP.60be5052.0008062c	folder_config->profile_dir	.
TOP.60be5052.0008062c	folder_config->session_dir	.
TOP.60be5052.0008062c	folder_config->shared_dir	.
TOP.60be5052.0008062c	user_options->separator	:
TOP.60be5052.0008062c	user_options->encoding_from	utf-8
TOP.60be5052.0008062c	user_options->encoding_to	utf-8
TOP.60be5052.0008062c	user_options->rule_buf_l	:
TOP.60be5052.0008062c	user_options->rule_buf_r	:
TOP.60be5052.0008062c	user_options->session	hashcat
TOP.60be5052.0008062c	user_options->limit	0
TOP.60be5052.0008062c	user_options->skip	0
TOP.60be5052.0008062c	user_options->attack_mode	0
TOP.60be5052.0008062c	user_options->benchmark	0
TOP.60be5052.0008062c	user_options->benchmark_all	0
TOP.60be5052.0008062c	user_options->bitmap_max	18
TOP.60be5052.0008062c	user_options->bitmap_min	16
TOP.60be5052.0008062c	user_options->debug_mode	0
TOP.60be5052.0008062c	user_options->hash_info	0
TOP.60be5052.0008062c	user_options->force	1
TOP.60be5052.0008062c	user_options->hwmon_disable	0
TOP.60be5052.0008062c	user_options->hwmon_temp_abort	90
TOP.60be5052.0008062c	user_options->hash_mode	1800
TOP.60be5052.0008062c	user_options->hex_charset	0
TOP.60be5052.0008062c	user_options->hex_salt	0
TOP.60be5052.0008062c	user_options->hex_wordlist	0
TOP.60be5052.0008062c	user_options->hook_threads	8
TOP.60be5052.0008062c	user_options->increment	0
TOP.60be5052.0008062c	user_options->increment_max	256
TOP.60be5052.0008062c	user_options->increment_min	1
TOP.60be5052.0008062c	user_options->keep_guessing	0
TOP.60be5052.0008062c	user_options->kernel_accel	0
TOP.60be5052.0008062c	user_options->kernel_loops	0
TOP.60be5052.0008062c	user_options->kernel_threads	0
TOP.60be5052.0008062c	user_options->keyspace	0
TOP.60be5052.0008062c	user_options->left	0
TOP.60be5052.0008062c	user_options->logfile_disable	0
TOP.60be5052.0008062c	user_options->loopback	0
TOP.60be5052.0008062c	user_options->machine_readable	0
TOP.60be5052.0008062c	user_options->markov_classic	0
TOP.60be5052.0008062c	user_options->markov_disable	0
TOP.60be5052.0008062c	user_options->markov_threshold	256
TOP.60be5052.0008062c	user_options->backend_info	0
TOP.60be5052.0008062c	user_options->backend_vector_width	0
TOP.60be5052.0008062c	user_options->optimized_kernel_enable	0
TOP.60be5052.0008062c	user_options->outfile_autohex	1
TOP.60be5052.0008062c	user_options->outfile_check_timer	5
TOP.60be5052.0008062c	user_options->outfile_format	3
TOP.60be5052.0008062c	user_options->wordlist_autohex_disable	0
TOP.60be5052.0008062c	user_options->potfile_disable	0
TOP.60be5052.0008062c	user_options->progress_only	0
TOP.60be5052.0008062c	user_options->quiet	0
TOP.60be5052.0008062c	user_options->remove	0
TOP.60be5052.0008062c	user_options->remove_timer	60
TOP.60be5052.0008062c	user_options->restore	0
TOP.60be5052.0008062c	user_options->restore_disable	0
TOP.60be5052.0008062c	user_options->restore_timer	60
TOP.60be5052.0008062c	user_options->rp_files_cnt	0
TOP.60be5052.0008062c	user_options->rp_gen	0
TOP.60be5052.0008062c	user_options->rp_gen_func_max	4
TOP.60be5052.0008062c	user_options->rp_gen_func_min	1
TOP.60be5052.0008062c	user_options->rp_gen_seed	0
TOP.60be5052.0008062c	user_options->runtime	0
TOP.60be5052.0008062c	user_options->scrypt_tmto	0
TOP.60be5052.0008062c	user_options->segment_size	33554432
TOP.60be5052.0008062c	user_options->self_test_disable	0
TOP.60be5052.0008062c	user_options->slow_candidates	0
TOP.60be5052.0008062c	user_options->show	0
TOP.60be5052.0008062c	user_options->speed_only	0
TOP.60be5052.0008062c	user_options->spin_damp	0
TOP.60be5052.0008062c	user_options->status	0
TOP.60be5052.0008062c	user_options->status_json	0
TOP.60be5052.0008062c	user_options->status_timer	10
TOP.60be5052.0008062c	user_options->stdout_flag	0
TOP.60be5052.0008062c	user_options->usage	0
TOP.60be5052.0008062c	user_options->username	0
TOP.60be5052.0008062c	user_options->veracrypt_pim_start	485
TOP.60be5052.0008062c	user_options->veracrypt_pim_stop	485
TOP.60be5052.0008062c	user_options->version	0
TOP.60be5052.0008062c	user_options->workload_profile	2
TOP.60be5052.0008062c	user_options->brain_client	0
TOP.60be5052.0008062c	user_options->brain_client_features	2
TOP.60be5052.0008062c	user_options->brain_server	0
TOP.60be5052.0008062c	user_options->brain_server_timer	300
TOP.60be5052.0008062c	user_options->brain_port	6863
TOP.60be5052.0008062c	user_options->brain_session	0
TOP.60be5052.0008062c	hashes->hashfile	C:\Users\Nico\Desktop\hashcat-6.2.1\wordlists\archivo_5
TOP.60be5052.0008062c	hashes->hashlist_mode	5
TOP.60be5052.0008062c	hashes->hashlist_format	0
TOP.60be5052.0008062c	hashes->hashes_cnt	0
TOP.60be5052.0008062c	hashes->digests_cnt	20
TOP.60be5052.0008062c	hashes->digests_done	0
TOP.60be5052.0008062c	hashes->salts_cnt	20
TOP.60be5052.0008062c	hashes->salts_done	0
TOP.60be50b7.000cdec5	START
TOP.60be50b7.000cdec5	folder_config->cwd	C:\Users\Nico\Desktop\hashcat-6.2.1
TOP.60be50b7.000cdec5	folder_config->install_dir	.
TOP.60be50b7.000cdec5	folder_config->profile_dir	.
TOP.60be50b7.000cdec5	folder_config->session_dir	.
TOP.60be50b7.000cdec5	folder_config->shared_dir	.
TOP.60be50b7.000cdec5	user_options->separator	:
TOP.60be50b7.000cdec5	user_options->encoding_from	utf-8
TOP.60be50b7.000cdec5	user_options->encoding_to	utf-8
TOP.60be50b7.000cdec5	user_options->rule_buf_l	:
TOP.60be50b7.000cdec5	user_options->rule_buf_r	:
TOP.60be50b7.000cdec5	user_options->session	hashcat
TOP.60be50b7.000cdec5	user_options->limit	0
TOP.60be50b7.000cdec5	user_options->skip	0
TOP.60be50b7.000cdec5	user_options->attack_mode	0
TOP.60be50b7.000cdec5	user_options->benchmark	0
TOP.60be50b7.000cdec5	user_options->benchmark_all	0
TOP.60be50b7.000cdec5	user_options->bitmap_max	18
TOP.60be50b7.000cdec5	user_options->bitmap_min	16
TOP.60be50b7.000cdec5	user_options->debug_mode	0
TOP.60be50b7.000cdec5	user_options->hash_info	0
TOP.60be50b7.000cdec5	user_options->force	1
TOP.60be50b7.000cdec5	user_options->hwmon_disable	0
TOP.60be50b7.000cdec5	user_options->hwmon_temp_abort	90
TOP.60be50b7.000cdec5	user_options->hash_mode	1800
TOP.60be50b7.000cdec5	user_options->hex_charset	0
TOP.60be50b7.000cdec5	user_options->hex_salt	0
TOP.60be50b7.000cdec5	user_options->hex_wordlist	0
TOP.60be50b7.000cdec5	user_options->hook_threads	8
TOP.60be50b7.000cdec5	user_options->increment	0
TOP.60be50b7.000cdec5	user_options->increment_max	256
TOP.60be50b7.000cdec5	user_options->increment_min	1
TOP.60be50b7.000cdec5	user_options->keep_guessing	0
TOP.60be50b7.000cdec5	user_options->kernel_accel	0
TOP.60be50b7.000cdec5	user_options->kernel_loops	0
TOP.60be50b7.000cdec5	user_options->kernel_threads	0
TOP.60be50b7.000cdec5	user_options->keyspace	0
TOP.60be50b7.000cdec5	user_options->left	0
TOP.60be50b7.000cdec5	user_options->logfile_disable	0
TOP.60be50b7.000cdec5	user_options->loopback	0
TOP.60be50b7.000cdec5	user_options->machine_readable	0
TOP.60be50b7.000cdec5	user_options->markov_classic	0
TOP.60be50b7.000cdec5	user_options->markov_disable	0
TOP.60be50b7.000cdec5	user_options->markov_threshold	256
TOP.60be50b7.000cdec5	user_options->backend_info	0
TOP.60be50b7.000cdec5	user_options->backend_vector_width	0
TOP.60be50b7.000cdec5	user_options->optimized_kernel_enable	0
TOP.60be50b7.000cdec5	user_options->outfile_autohex	1
TOP.60be50b7.000cdec5	user_options->outfile_check_timer	5
TOP.60be50b7.000cdec5	user_options->outfile_format	3
TOP.60be50b7.000cdec5	user_options->wordlist_autohex_disable	0
TOP.60be50b7.000cdec5	user_options->potfile_disable	0
TOP.60be50b7.000cdec5	user_options->progress_only	0
TOP.60be50b7.000cdec5	user_options->quiet	0
TOP.60be50b7.000cdec5	user_options->remove	0
TOP.60be50b7.000cdec5	user_options->remove_timer	60
TOP.60be50b7.000cdec5	user_options->restore	0
TOP.60be50b7.000cdec5	user_options->restore_disable	0
TOP.60be50b7.000cdec5	user_options->restore_timer	60
TOP.60be50b7.000cdec5	user_options->rp_files_cnt	0
TOP.60be50b7.000cdec5	user_options->rp_gen	0
TOP.60be50b7.000cdec5	user_options->rp_gen_func_max	4
TOP.60be50b7.000cdec5	user_options->rp_gen_func_min	1
TOP.60be50b7.000cdec5	user_options->rp_gen_seed	0
TOP.60be50b7.000cdec5	user_options->runtime	0
TOP.60be50b7.000cdec5	user_options->scrypt_tmto	0
TOP.60be50b7.000cdec5	user_options->segment_size	33554432
TOP.60be50b7.000cdec5	user_options->self_test_disable	0
TOP.60be50b7.000cdec5	user_options->slow_candidates	0
TOP.60be50b7.000cdec5	user_options->show	0
TOP.60be50b7.000cdec5	user_options->speed_only	0
TOP.60be50b7.000cdec5	user_options->spin_damp	0
TOP.60be50b7.000cdec5	user_options->status	0
TOP.60be50b7.000cdec5	user_options->status_json	0
TOP.60be50b7.000cdec5	user_options->status_timer	10
TOP.60be50b7.000cdec5	user_options->stdout_flag	0
TOP.60be50b7.000cdec5	user_options->usage	0
TOP.60be50b7.000cdec5	user_options->username	0
TOP.60be50b7.000cdec5	user_options->veracrypt_pim_start	485
TOP.60be50b7.000cdec5	user_options->veracrypt_pim_stop	485
TOP.60be50b7.000cdec5	user_options->version	0
TOP.60be50b7.000cdec5	user_options->workload_profile	2
TOP.60be50b7.000cdec5	user_options->brain_client	0
TOP.60be50b7.000cdec5	user_options->brain_client_features	2
TOP.60be50b7.000cdec5	user_options->brain_server	0
TOP.60be50b7.000cdec5	user_options->brain_server_timer	300
TOP.60be50b7.000cdec5	user_options->brain_port	6863
TOP.60be50b7.000cdec5	user_options->brain_session	0
TOP.60be50b7.000cdec5	hashes->hashfile	C:\Users\Nico\Desktop\hashcat-6.2.1\wordlists\archivo_5
TOP.60be50b7.000cdec5	hashes->hashlist_mode	5
TOP.60be50b7.000cdec5	hashes->hashlist_format	0
TOP.60be50b7.000cdec5	hashes->hashes_cnt	0
TOP.60be50b7.000cdec5	hashes->digests_cnt	20
TOP.60be50b7.000cdec5	hashes->digests_done	0
TOP.60be50b7.000cdec5	hashes->salts_cnt	20
TOP.60be50b7.000cdec5	hashes->salts_done	0
TOP.60be50b7.000cdec5	SUB.60be50cf.00080c23	START
TOP.60be50b7.000cdec5	SUB.60be50cf.00080c23	straight_ctx->dict	C:\Users\Nico\Desktop\hashcat-6.2.1\diccionario_1.dict
TOP.60be50b7.000cdec5	SUB.60be50cf.00080c23	runtime_start	1623085263
TOP.60be50b7.000cdec5	SUB.60be50cf.00080c23	runtime_stop	1623085277
TOP.60be50b7.000cdec5	SUB.60be50cf.00080c23	status-after-work	5
TOP.60be50b7.000cdec5	SUB.60be50cf.00080c23	STOP
TOP.60be50b7.000cdec5	SUB.60be50dd.000cd092	START
TOP.60be50b7.000cdec5	SUB.60be50dd.000cd092	straight_ctx->dict	C:\Users\Nico\Desktop\hashcat-6.2.1\diccionario_2.dict
TOP.60be50b7.000cdec5	SUB.60be50dd.000cd092	runtime_start	1623085277
TOP.60be50b7.000cdec5	SUB.60be50dd.000cd092	runtime_stop	1623085440
TOP.60be50b7.000cdec5	SUB.60be50dd.000cd092	status-after-work	6
TOP.60be50b7.000cdec5	SUB.60be50dd.000cd092	STOP
TOP.60be50b7.000cdec5	proc_start	1623085239
TOP.60be50b7.000cdec5	proc_stop	1623085440
TOP.60be50b7.000cdec5	STOP
TOP.60be520f.00036ab2	START
TOP.60be520f.00036ab2	folder_config->cwd	C:\Users\Nico\Desktop\hashcat-6.2.1
TOP.60be520f.00036ab2	folder_config->install_dir	.
TOP.60be520f.00036ab2	folder_config->profile_dir	.
TOP.60be520f.00036ab2	folder_config->session_dir	.
TOP.60be520f.00036ab2	folder_config->shared_dir	.
TOP.60be520f.00036ab2	user_options->separator	:
TOP.60be520f.00036ab2	user_options->encoding_from	utf-8
TOP.60be520f.00036ab2	user_options->encoding_to	utf-8
TOP.60be520f.00036ab2	user_options->rule_buf_l	:
TOP.60be520f.00036ab2	user_options->rule_buf_r	:
TOP.60be520f.00036ab2	user_options->session	hashcat
TOP.60be520f.00036ab2	user_options->limit	0
TOP.60be520f.00036ab2	user_options->skip	0
TOP.60be520f.00036ab2	user_options->attack_mode	0
TOP.60be520f.00036ab2	user_options->benchmark	0
TOP.60be520f.00036ab2	user_options->benchmark_all	0
TOP.60be520f.00036ab2	user_options->bitmap_max	18
TOP.60be520f.00036ab2	user_options->bitmap_min	16
TOP.60be520f.00036ab2	user_options->debug_mode	0
TOP.60be520f.00036ab2	user_options->hash_info	0
TOP.60be520f.00036ab2	user_options->force	1
TOP.60be520f.00036ab2	user_options->hwmon_disable	0
TOP.60be520f.00036ab2	user_options->hwmon_temp_abort	90
TOP.60be520f.00036ab2	user_options->hash_mode	0
TOP.60be520f.00036ab2	user_options->hex_charset	0
TOP.60be520f.00036ab2	user_options->hex_salt	0
TOP.60be520f.00036ab2	user_options->hex_wordlist	0
TOP.60be520f.00036ab2	user_options->hook_threads	8
TOP.60be520f.00036ab2	user_options->increment	0
TOP.60be520f.00036ab2	user_options->increment_max	256
TOP.60be520f.00036ab2	user_options->increment_min	1
TOP.60be520f.00036ab2	user_options->keep_guessing	0
TOP.60be520f.00036ab2	user_options->kernel_accel	0
TOP.60be520f.00036ab2	user_options->kernel_loops	0
TOP.60be520f.00036ab2	user_options->kernel_threads	0
TOP.60be520f.00036ab2	user_options->keyspace	0
TOP.60be520f.00036ab2	user_options->left	0
TOP.60be520f.00036ab2	user_options->logfile_disable	0
TOP.60be520f.00036ab2	user_options->loopback	0
TOP.60be520f.00036ab2	user_options->machine_readable	0
TOP.60be520f.00036ab2	user_options->markov_classic	0
TOP.60be520f.00036ab2	user_options->markov_disable	0
TOP.60be520f.00036ab2	user_options->markov_threshold	256
TOP.60be520f.00036ab2	user_options->backend_info	0
TOP.60be520f.00036ab2	user_options->backend_vector_width	0
TOP.60be520f.00036ab2	user_options->optimized_kernel_enable	0
TOP.60be520f.00036ab2	user_options->outfile_autohex	1
TOP.60be520f.00036ab2	user_options->outfile_check_timer	5
TOP.60be520f.00036ab2	user_options->outfile_format	3
TOP.60be520f.00036ab2	user_options->wordlist_autohex_disable	0
TOP.60be520f.00036ab2	user_options->potfile_disable	0
TOP.60be520f.00036ab2	user_options->progress_only	0
TOP.60be520f.00036ab2	user_options->quiet	0
TOP.60be520f.00036ab2	user_options->remove	0
TOP.60be520f.00036ab2	user_options->remove_timer	60
TOP.60be520f.00036ab2	user_options->restore	0
TOP.60be520f.00036ab2	user_options->restore_disable	0
TOP.60be520f.00036ab2	user_options->restore_timer	60
TOP.60be520f.00036ab2	user_options->rp_files_cnt	0
TOP.60be520f.00036ab2	user_options->rp_gen	0
TOP.60be520f.00036ab2	user_options->rp_gen_func_max	4
TOP.60be520f.00036ab2	user_options->rp_gen_func_min	1
TOP.60be520f.00036ab2	user_options->rp_gen_seed	0
TOP.60be520f.00036ab2	user_options->runtime	0
TOP.60be520f.00036ab2	user_options->scrypt_tmto	0
TOP.60be520f.00036ab2	user_options->segment_size	33554432
TOP.60be520f.00036ab2	user_options->self_test_disable	0
TOP.60be520f.00036ab2	user_options->slow_candidates	0
TOP.60be520f.00036ab2	user_options->show	0
TOP.60be520f.00036ab2	user_options->speed_only	0
TOP.60be520f.00036ab2	user_options->spin_damp	0
TOP.60be520f.00036ab2	user_options->status	0
TOP.60be520f.00036ab2	user_options->status_json	0
TOP.60be520f.00036ab2	user_options->status_timer	10
TOP.60be520f.00036ab2	user_options->stdout_flag	0
TOP.60be520f.00036ab2	user_options->usage	0
TOP.60be520f.00036ab2	user_options->username	0
TOP.60be520f.00036ab2	user_options->veracrypt_pim_start	485
TOP.60be520f.00036ab2	user_options->veracrypt_pim_stop	485
TOP.60be520f.00036ab2	user_options->version	0
TOP.60be520f.00036ab2	user_options->workload_profile	2
TOP.60be520f.00036ab2	user_options->brain_client	0
TOP.60be520f.00036ab2	user_options->brain_client_features	2
TOP.60be520f.00036ab2	user_options->brain_server	0
TOP.60be520f.00036ab2	user_options->brain_server_timer	300
TOP.60be520f.00036ab2	user_options->brain_port	6863
TOP.60be520f.00036ab2	user_options->brain_session	0
